Cartone [id=21, titolo=Gravity Falls (2012–2016), rating=8.9]
Cartone [id=79, titolo=Over the Garden Wall - Avventura nella foresta dei misteri (2014), rating=8.8]
Cartone [id=42, titolo=Primal (2019– ), rating=8.7]
Cartone [id=44, titolo=Invincible (2021– ), rating=8.7]
Cartone [id=54, titolo=South Park (1997– ), rating=8.7]
Cartone [id=57, titolo=I Simpson (1989– ), rating=8.7]
Cartone [id=6, titolo=Justice League (2001–2004), rating=8.6]
Cartone [id=48, titolo=Young Justice (2010–2022), rating=8.6]
Cartone [id=2, titolo=Samurai Jack (2001–2017), rating=8.5]
Cartone [id=28, titolo=Futurama (1999–2023), rating=8.5]
Cartone [id=35, titolo=The Boondocks (2005–2014), rating=8.5]
Cartone [id=13, titolo=Trollhunters: I racconti di arcadia (2016–2018), rating=8.4]
Cartone [id=16, titolo=La leggenda di Korra (2012–2014), rating=8.4]
Cartone [id=22, titolo=Star Wars: The Clone Wars (2008–2020), rating=8.4]
Cartone [id=40, titolo=SWAT Kats: The Radical Squadron (1993–1995), rating=8.4]
Cartone [id=47, titolo=La leggenda di Vox Machina (2022– ), rating=8.4]
Cartone [id=74, titolo=The Bugs Bunny/Looney Tunes Comedy Hour (1985–1986), rating=8.4]
Cartone [id=7, titolo=Avengers - I più potenti eroi della Terra (2010–2012), rating=8.3]
Cartone [id=18, titolo=The Spectacular Spider-Man (2008–2009), rating=8.3]
Cartone [id=19, titolo=Megas XLR (2004–2005), rating=8.3]
Cartone [id=27, titolo=Il principe dei draghi (2018– ), rating=8.3]
Cartone [id=31, titolo=Castlevania (2017–2021), rating=8.3]
Cartone [id=68, titolo=Leone il cane fifone (1999–2002), rating=8.3]
Cartone [id=72, titolo=DuckTales (2017–2021), rating=8.3]
Cartone [id=80, titolo=Anfibia (2019–2022), rating=8.3]
Cartone [id=32, titolo=Final Space (2018–2021), rating=8.2]
Cartone [id=33, titolo=Tron: Uprising (2012–2013), rating=8.2]
Cartone [id=53, titolo=Bob's Burgers (2011– ), rating=8.2]
Cartone [id=55, titolo=I Griffin (1999– ), rating=8.2]
Cartone [id=85, titolo=Clone High (2002–2003), rating=8.2]
Cartone [id=89, titolo=Downtown (1999–2000), rating=8.2]
Cartone [id=5, titolo=Scooby-Doo! Mystery Incorporated (2010–2013), rating=8.1]
Cartone [id=8, titolo=Batman of the Future (1999–2001), rating=8.1]
Cartone [id=14, titolo=Gargoyles (1994–1997), rating=8.1]
Cartone [id=17, titolo=Voltron: Legendary Defender (2016–2018), rating=8.1]
Cartone [id=20, titolo=Sym-Bionic Titan (2010–2011), rating=8.1]
Cartone [id=65, titolo=Le avventure di Superman (1996–2000), rating=8.1]
Cartone [id=23, titolo=Star Wars: Rebels (2014–2018), rating=8.0]
Cartone [id=39, titolo=Detentionaire (2011–2014), rating=8.0]
Cartone [id=41, titolo=I Maghi: I racconti di Arcadia (2020), rating=8.0]
Cartone [id=64, titolo=Wolverine and the X-Men (2008–2009), rating=8.0]
Cartone [id=83, titolo=Marco e Star contro le forze del male (2015–2023), rating=8.0]
Cartone [id=100, titolo=Zim Invasore (2001–2006), rating=8.0]
